row_id,accepted
304897,0
386541,1
453817,0
352553,0
273259,1
92632,1
286766,0
227245,1
216696,1
250260,0
175245,0
493923,0
347875,1
393830,1
321137,1
271300,1
299842,0
71732,0
173271,1
279556,0
367846,0
13338,0
342446,0
16767,0
107821,1
360446,1
386081,1
18539,1
13417,0
405471,1
457034,1
195383,1
122882,1
452835,0
21868,1
325157,1
398608,1
300318,0
471782,1
218421,1
283862,0
145900,1
470796,1
94668,1
278387,1
463275,1
2611,1
261759,1
49125,0
213447,1
158690,0
30730,0
39847,0
104107,0
85957,1
264535,0
267912,0
179666,1
81108,1
13971,1
149295,1
435327,0
188181,0
65666,0
439568,0
173434,0
262378,0
135203,1
209614,1
228048,0
79033,1
3685,0
494506,1
356682,1
347409,0
464767,0
175067,1
44596,0
433699,1
334557,0
173320,0
225157,1
370715,1
321482,0
169481,0
75121,0
438685,0
358909,0
219988,1
411287,0
330742,0
413227,0
433100,1
3332,0
377597,1
278851,0
471279,0
465571,1
11492,1
473849,0
370587,1
357495,1
247548,0
110866,0
440335,0
265882,0
140996,0
224429,0
272119,1
54313,1
46258,1
150367,0
396785,0
299450,0
441340,1
292370,0
61021,1
196768,1
135797,0
127182,0
341595,1
311651,1
44465,1
141858,0
141192,1
424292,0
207728,1
295077,0
36135,0
337478,1
205669,0
496068,0
355538,1
26371,1
404210,1
420040,0
119824,0
297336,0
200423,1
330287,0
325424,1
89816,0
77331,1
151029,1
29145,0
407128,1
123351,0
474068,0
67037,1
74567,0
428373,0
59002,1
347825,0
485752,0
143268,1
430291,0
11072,0
110989,0
263464,1
178681,1
97975,0
479025,0
103595,1
148412,0
236812,0
405386,0
187262,0
116220,0
66768,0
225295,1
293149,1
358400,0
473848,0
133992,1
140386,0
305049,0
56973,0
123864,1
466946,1
21961,0
361971,1
102760,1
6586,1
792,1
395605,1
11709,1
82344,1
428090,1
178883,1
274978,0
319662,1
182764,0
137525,0
61580,1
119157,1
489583,1
278062,1
484591,0
159034,1
81181,0
437528,0
295505,0
114757,0
280322,1
248209,0
35174,0
91470,0
473588,0
232849,0
233923,1
484772,1
474211,1
301295,0
291009,0
32068,0
135937,1
346786,1
79566,1
469804,0
288496,0
103675,1
248786,0
401874,1
485149,0
394993,0
477452,1
271233,1
320753,1
251312,1
422745,1
151038,0
238040,1
22385,0
152564,0
212722,0
262475,1
204870,0
155314,1
388357,0
491502,0
441988,1
356665,0
446710,1
358591,1
75543,0
157399,1
287670,1
250318,1
76105,0
219984,0
237793,1
197053,0
48688,0
465935,1
387195,1
489284,1
498754,1
430988,0
177892,0
240448,0
120404,0
29599,0
193782,0
50182,1
88487,0
353256,0
483197,0
208651,0
34415,0
336685,0
305125,1
43922,1
121206,1
44081,1
70409,0
456186,0
401740,1
335437,1
24118,1
84557,1
309858,1
176465,0
324934,1
26273,0
371944,0
45570,1
60533,1
183134,1
353161,1
309951,0
411039,0
108103,1
216668,0
22582,0
267122,1
281977,1
290548,1
327116,1
216684,1
32979,1
255129,1
353434,0
142112,0
28362,0
82459,0
158071,0
67123,1
337283,1
496079,0
60497,1
177917,1
272907,0
286566,0
231198,1
201255,0
39202,0
266140,0
275577,0
127087,1
159542,0
499508,0
60117,1
33991,1
44680,0
123445,1
109158,0
57878,1
475044,0
310400,0
374291,0
164167,1
301571,1
132700,0
314197,0
288104,1
102996,1
485944,1
250072,0
145801,0
224876,1
105219,0
222295,0
296100,1
235297,1
425627,1
411946,0
414953,1
149653,1
472863,0
240473,0
236022,0
392817,0
405492,1
236194,1
201208,0
466089,1
219816,1
390795,0
11855,1
414743,1
328657,0
314584,0
381679,1
485988,1
424192,0
76275,1
328113,0
24472,1
320556,0
296448,0
309431,1
172704,0
5190,1
199506,0
168170,1
43254,0
406573,1
210773,0
177189,0
144635,0
100852,0
27086,1
83478,1
199802,0
241438,0
267776,1
87617,0
444850,0
86757,0
322967,0
317566,1
365437,0
211413,1
364201,0
211600,1
152597,0
18714,0
180808,0
282256,1
213744,1
452122,0
83290,1
225502,1
274043,0
375861,0
452730,1
181221,0
100240,0
427914,1
54673,0
189764,1
258639,1
384588,1
214929,0
209663,0
